127.0.0.1 - - [13/Mar/2023:09:30:11 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:30:12 +0900] "GET /WebMarket/welcome.jsp HTTP/1.1" 200 9200
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:30:12 +0900] "GET /WebMarket/resources/css/product.css HTTP/1.1" 404 3448
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:30:12 +0900] "GET /WebMarket/css/styles.css HTTP/1.1" 404 3448
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:30:12 +0900] "GET /WebMarket/css/styles.css HTTP/1.1" 404 3448
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:30:12 +0900] "GET /WebMarket/resources/css/product.css HTTP/1.1" 404 3448
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:30:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:30:17 +0900] "GET /WebMarket/welcome.jsp HTTP/1.1" 200 9068
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:30:17 +0900] "GET /WebMarket/css/styles.css HTTP/1.1" 404 3448
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:30:17 +0900] "GET /WebMarket/resources/css/product.css HTTP/1.1" 404 3448
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:30:17 +0900] "GET /WebMarket/css/styles.css HTTP/1.1" 404 3448
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:30:17 +0900] "GET /WebMarket/resources/css/product.css HTTP/1.1" 404 3448
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:30:22 +0900] "GET /WebMarket/welcome.jsp HTTP/1.1" 200 9068
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:30:22 +0900] "GET /WebMarket/css/styles.css HTTP/1.1" 404 3448
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:30:22 +0900] "GET /WebMarket/resources/css/product.css HTTP/1.1" 404 3448
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:30:22 +0900] "GET /WebMarket/css/styles.css HTTP/1.1" 404 3448
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:30:22 +0900] "GET /WebMarket/resources/css/product.css HTTP/1.1" 404 3448
