"ID","Warehouse_block","Mode_of_Shipment","Customer_care_calls","Customer_rating","Cost_of_the_Product","Prior_purchases","Product_importance","Gender","Discount_offered","Weight_in_gms"
1017,"A","Ship",4,1,167,3,"high","F",22,1403
8004,"F","Ship",7,3,308,5,"medium","M",10,1152
4775,"C","Road",5,2,250,2,"medium","F",6,5565
10369,"D","Ship",5,2,213,3,"low","M",9,5526
9725,"C","Flight",5,1,139,3,"medium","M",2,5632
10539,"A","Road",3,2,213,6,"medium","M",9,5418
8462,"F","Ship",3,2,243,4,"medium","M",5,4670
4050,"F","Ship",3,5,265,3,"medium","M",4,4268
8789,"C","Ship",4,2,212,3,"low","M",5,5413
1301,"C","Ship",4,2,235,3,"low","F",21,3088
8522,"F","Ship",3,2,165,3,"low","M",6,5642
1799,"C","Ship",5,1,191,3,"low","M",56,3538
9941,"C","Ship",5,5,251,5,"medium","F",10,1683
8229,"A","Flight",3,4,186,2,"low","F",4,4585
1129,"D","Ship",4,4,145,4,"low","F",35,1210
8921,"C","Flight",6,2,271,4,"medium","M",3,1636
878,"F","Ship",4,1,222,3,"medium","M",25,2582
8677,"D","Ship",3,1,207,4,"low","F",9,5889
7845,"A","Ship",3,5,192,2,"low","F",7,5069
5922,"F","Ship",5,4,267,2,"medium","M",4,4053
6526,"B","Ship",4,4,177,6,"low","M",6,5451
5071,"D","Flight",5,1,257,3,"medium","M",7,4133
2900,"F","Ship",3,2,175,2,"medium","F",12,1817
7075,"D","Ship",4,4,213,3,"low","F",1,4266
10570,"B","Ship",4,4,156,2,"low","F",5,5216
4650,"F","Road",4,1,206,3,"low","F",4,4745
9638,"F","Ship",6,5,245,4,"low","M",2,1832
2159,"C","Ship",4,2,157,2,"medium","M",15,1724
3476,"F","Ship",6,4,100,5,"low","F",7,5668
1948,"B","Ship",3,2,116,2,"low","F",22,1430
2580,"F","Road",4,2,128,5,"low","F",28,1247
1530,"F","Ship",3,3,162,2,"low","F",26,1659
7289,"C","Ship",4,3,217,3,"medium","F",7,4723
4633,"D","Road",3,4,202,5,"high","M",5,4632
6519,"A","Ship",4,4,266,3,"low","M",10,5221
4344,"F","Ship",4,4,204,2,"medium","F",9,4462
1222,"B","Road",4,5,265,3,"medium","F",41,3101
10618,"B","Ship",3,4,160,3,"medium","M",3,5662
10279,"D","Flight",4,3,164,3,"medium","F",4,4495
10675,"D","Road",3,4,208,2,"low","F",3,5811
2858,"F","Road",2,1,178,3,"low","M",6,1184
5400,"F","Ship",5,1,263,3,"medium","M",6,4505
9888,"F","Ship",5,2,243,5,"medium","F",4,1385
526,"B","Road",3,3,249,3,"medium","M",51,2173
1069,"D","Ship",3,3,255,3,"medium","M",23,3764
5522,"F","Ship",6,2,304,4,"medium","F",10,1983
8214,"F","Road",4,5,179,3,"low","F",4,4487
5838,"F","Ship",2,4,233,2,"medium","F",6,4758
5862,"F","Ship",3,2,224,3,"low","F",7,5896
6337,"D","Ship",5,4,264,3,"medium","M",10,4025
5491,"D","Flight",3,2,135,7,"medium","M",8,4901
9320,"F","Flight",4,1,189,3,"medium","M",5,4133
7494,"F","Ship",3,3,239,3,"low","F",4,1399
9175,"D","Flight",5,4,307,5,"low","M",8,1903
1791,"A","Flight",6,2,205,5,"medium","F",61,2018
9831,"A","Ship",4,3,213,4,"medium","M",8,4220
4939,"D","Flight",4,4,185,3,"high","F",6,4238
465,"A","Ship",5,2,263,8,"medium","M",24,3139
7976,"F","Ship",4,3,97,6,"low","F",4,4375
9392,"F","Ship",4,4,253,3,"medium","F",4,5236
3863,"C","Ship",5,1,152,3,"medium","F",6,4735
9326,"F","Flight",4,1,271,4,"medium","F",2,4133
8276,"F","Ship",5,4,262,3,"medium","F",6,4428
1895,"C","Road",3,2,168,3,"low","M",15,1862
3101,"C","Ship",5,1,195,3,"low","M",37,3690
10492,"B","Ship",4,5,248,3,"low","M",7,5853
3990,"F","Flight",3,4,212,3,"low","F",8,5214
6877,"D","Ship",7,2,279,4,"medium","M",5,1210
10140,"F","Flight",4,5,258,5,"low","M",3,1162
6764,"F","Ship",4,2,211,2,"low","F",9,5883
1328,"F","Ship",4,5,113,6,"medium","M",25,1538
