"country","incidence","year"
"Nicaragua",558,2011
"Bahamas",44,1992
"Finland",246,2006
"China, Macao SAR",446,2011
"Kiribati",296,1994
"Bangladesh",50,2007
"Mali",466,2006
"Antigua and Barbuda",28,1999
"Djibouti",262,1991
"Russian Federation",643,2002
"Netherlands Antilles",530,2004
"Belarus",112,2008
"Aruba",533,1980
"Myanmar",104,2000
"Palau",585,1990
"Benin",204,2016
"Cook Islands",184,2004
"Lesotho",426,1980
"Uzbekistan",860,1989
"Turkmenistan",795,2010
"Aruba",533,2002
"Lao People's Democratic Republic",418,2003
"New Caledonia",540,1994
"Kyrgyzstan",417,1993
"Israel",376,1986
"Libya",434,1992
"Japan",392,1988
"Malawi",454,2004
"San Marino",674,1987
"Vanuatu",548,1985
"Lithuania",440,1990
"Bhutan",64,2010
"Iceland",352,1992
"Papua New Guinea",598,1985
"Yemen",887,2005
"Poland",616,2003
"Mauritania",478,1996
"Madagascar",450,2006
"Belarus",112,2020
"Malaysia",458,2015
"Ireland",372,1997
"Gabon",266,2012
"United States of America",840,1993
"El Salvador",222,2007
"Cameroon",120,2008
"Zimbabwe",716,1992
"New Caledonia",540,1981
"Bolivia (Plurinational State of)",68,2007
"Djibouti",262,2000
"Angola",24,1999
"Venezuela (Bolivarian Republic of)",862,2014
"Botswana",72,1989
"Cuba",192,2015
"Marshall Islands",584,2006
"Israel",376,2006
"Chile",152,2000
"Eritrea",232,1986
"Aruba",533,2014
"Barbados",52,1984
"Estonia",233,1985
"Malawi",454,1993
"Serbia & Montenegro",891,1994
"Bermuda",60,2012
"Peru",604,2016
"Guinea-Bissau",624,1991
"Poland",616,1988
"Poland",616,1994
"Kenya",404,2005
"Zambia",894,1981
"China, Hong Kong SAR",344,1989
"Belize",84,1999
"Kenya",404,2000
"Kiribati",296,1996
"Malaysia",458,1989
"Bhutan",64,2005
"Senegal",686,2013
"Dominica",212,1980
"Paraguay",600,2007
"Andorra",20,1994
"Puerto Rico",630,2020
"Colombia",170,2003
"Cook Islands",184,2019
"New Caledonia",540,1982
"Cyprus",196,1982
"Maldives",462,1987
"Madagascar",450,2009
"American Samoa",16,1994
"Poland",616,2002
"South Africa",710,2002
"Angola",24,1992
"Vanuatu",548,2020
"Andorra",20,2007
"Rwanda",646,2002
"Seychelles",690,1995
"Kenya",404,2010
"Botswana",72,1984
"Anguilla",660,2013
"Croatia",191,2012
"Netherlands",528,2019
"Paraguay",600,2008
