"id","sentiment","confidence","negativereason","negativeconfidence","airline"
570292360749453312,"negative",0.6634,"Flight Booking Problems",0.6634,"Delta"
569997655713173504,"negative",1,"Customer Service Issue",1,"American"
570081545211375616,"negative",1,"Can't Tell",0.6563,"US Airways"
568166478572204032,"negative",1,"Bad Flight",0.6836,"US Airways"
568781819233091584,"neutral",0.6529,NA,NA,"Virgin America"
569881453842042880,"negative",1,"Customer Service Issue",1,"American"
570115243747074048,"neutral",1,NA,NA,"United"
569805235255783424,"negative",1,"Customer Service Issue",1,"American"
568085962049216512,"positive",1,NA,NA,"Southwest"
569666513352806400,"positive",0.6633,NA,NA,"Southwest"
569491425110466560,"negative",1,"Customer Service Issue",1,"Southwest"
569258013950808064,"positive",0.6533,NA,NA,"United"
569970186431959040,"negative",1,"Can't Tell",1,"US Airways"
567804700951855104,"positive",1,NA,NA,"US Airways"
567864832235405312,"negative",1,"longlines",0.6675,"Southwest"
567886700275310592,"negative",0.7067,"Bad Flight",0.7067,"United"
569619545893306368,"negative",1,"Late Flight",1,"United"
567735941846937600,"neutral",0.6694,NA,0,"Virgin America"
570278803399798784,"negative",1,"Lost Luggage",0.6701,"American"
567741655587905536,"neutral",1,NA,NA,"Southwest"
570291492545298432,"neutral",1,NA,NA,"United"
569897748859744256,"negative",1,"Customer Service Issue",1,"American"
568080078875324416,"negative",1,"Customer Service Issue",1,"US Airways"
570066245195829248,"negative",1,"Late Flight",1,"Delta"
569558235897688064,"positive",1,NA,NA,"Delta"
569554300495462400,"neutral",1,NA,NA,"Delta"
568157049344937984,"negative",1,"Cancelled Flight",1,"United"
569292280000962560,"negative",1,"longlines",0.3441,"Southwest"
569891568074797056,"negative",1,"Customer Service Issue",1,"American"
570207886493782016,"negative",1,"Bad Flight",1,"Virgin America"
567728057700876288,"negative",1,"longlines",0.6989,"US Airways"
569512714961362944,"negative",1,"Late Flight",1,"United"
569638063825154048,"positive",1,NA,NA,"Southwest"
569570013964689408,"negative",1,"Late Flight",1,"United"
569688698301784064,"negative",1,"Late Flight",0.6469,"American"
569278347441799168,"negative",1,"Customer Service Issue",0.6571,"United"
569899203339657216,"neutral",0.6596,NA,0,"US Airways"
569998992475627520,"negative",1,"Customer Service Issue",1,"American"
569502909093646336,"negative",1,"Late Flight",0.6774,"United"
568164652821184512,"neutral",0.6632,NA,0,"Delta"
568971304914853888,"negative",1,"Can't Tell",0.6292,"US Airways"
567791389011910656,"negative",1,"Cancelled Flight",1,"United"
568874435907682304,"neutral",1,NA,NA,"Southwest"
568763087689379840,"negative",1,"Customer Service Issue",0.6494,"Southwest"
568174545854726144,"positive",0.6635,NA,NA,"Delta"
568470266793340928,"negative",1,"Customer Service Issue",0.6665,"Southwest"
569991184120193024,"positive",1,NA,NA,"Delta"
570017458742030336,"negative",1,"Flight Attendant Complaints",0.6883,"US Airways"
568172398161354752,"neutral",1,NA,NA,"Delta"
569890152832749568,"negative",1,"Late Flight",1,"US Airways"
569926843853185024,"negative",1,"Bad Flight",0.6484,"US Airways"
570047651875594240,"neutral",1,NA,NA,"Delta"
569562731356901376,"negative",1,"Late Flight",1,"US Airways"
568857374934601728,"negative",0.6706,"longlines",0.3412,"United"
570122982863060992,"negative",1,"Cancelled Flight",0.6493,"American"
567730696656273408,"positive",0.6538,NA,NA,"Delta"
569229785500680192,"negative",1,"Cancelled Flight",0.6452,"Virgin America"
568487040234459136,"negative",1,"Cancelled Flight",1,"Delta"
570202160564203520,"negative",1,"Flight Attendant Complaints",0.6699,"American"
570293265221742592,"neutral",1,NA,NA,"United"
570057993770831872,"negative",1,"Customer Service Issue",1,"American"
568654569976123392,"negative",1,"Customer Service Issue",0.6547,"United"
569697735177170944,"negative",1,"Flight Attendant Complaints",0.692,"American"
570222748615598080,"neutral",1,NA,NA,"US Airways"
567758296417718272,"negative",1,"Customer Service Issue",1,"Southwest"
567871168214106112,"negative",1,"Customer Service Issue",0.6943,"US Airways"
569328128310403072,"negative",1,"Flight Attendant Complaints",0.6771,"United"
568474442210283520,"neutral",0.6627,NA,0,"Southwest"
569861557775163392,"neutral",0.6883,NA,NA,"Delta"
568478666868588544,"positive",1,NA,NA,"Southwest"
