학교명,1학년 전입학생수,1학년 전출학생수,2학년 전입학생수,2학년 전출학생수,3학년 전입학생수,3학년 전출학생수,4학년 전입학생수,4학년 전출학생수,5학년 전입학생수,5학년 전출학생수,6학년 전입학생수,6학년 전출학생수,전입학생수(계),전출학생수(계),전체학생수(계)
나성초등학교,159,0,145,0,189,0,161,0,180,0,89,0,923,0,230
인천한별초등학교,179,1,166,1,157,1,135,1,127,0,93,0,857,4,0
마산고운초등학교,37,5,195,3,187,1,183,2,139,1,115,1,856,13,894
판교대장초등학교,150,0,132,0,118,0,119,1,97,0,72,1,688,2,0
인천송담초등학교,10,9,151,10,189,4,138,3,139,3,85,1,712,30,835
위례숲초등학교,162,1,145,1,110,1,106,0,102,0,54,0,679,3,77
단샘초등학교,68,41,166,22,175,23,129,14,146,16,88,2,772,118,557
다산하늘초등학교,62,6,138,2,141,3,106,4,112,2,73,1,632,18,451
새봄초등학교,73,1,125,3,111,0,119,3,112,3,69,0,609,10,263
송림초등학교,124,2,112,5,112,2,97,5,75,4,67,2,587,20,332
서울일원초등학교,72,1,99,6,109,3,103,6,104,2,78,4,565,22,560
인천해든초등학교,97,0,114,0,84,1,93,1,69,0,40,0,497,2,0
하랑초등학교,22,0,88,0,137,2,88,0,98,1,63,0,496,3,541
호연초등학교,17,9,99,4,115,0,119,4,78,0,69,0,497,17,522
여울초등학교,72,3,82,1,84,0,84,0,90,0,62,0,474,4,353
해빛초등학교,7,3,104,4,108,1,91,2,81,1,56,1,447,12,577
초롱초등학교,105,0,90,0,79,0,76,0,59,0,23,0,432,0,0
신우초등학교,95,0,88,0,74,0,65,0,74,0,26,0,422,0,0
서울강빛초등학교,8,1,83,2,84,3,83,0,86,0,72,1,416,7,485
한여울초등학교,19,1,91,2,94,0,92,0,62,0,51,0,409,3,403
대구연경초등학교,4,3,91,0,94,3,77,2,80,0,58,0,404,8,519
서울고일초등학교,19,4,89,10,101,13,71,9,68,5,80,1,428,42,1593
대덕초등학교,18,5,105,1,93,1,88,3,47,1,39,2,390,13,477
다산별빛초등학교,88,0,69,0,64,0,53,0,54,0,15,0,343,0,0
이솔초등학교,23,5,77,5,77,2,53,3,73,2,47,1,350,18,345
은빛초등학교,3,10,92,13,97,13,96,24,60,11,62,8,410,79,1634
은여울초등학교,28,12,88,23,89,27,84,11,72,20,70,9,431,102,1622
인천현송초등학교,1,0,73,5,76,2,81,2,48,1,52,3,331,13,415
서울거원초등학교,49,5,57,6,64,13,64,8,58,5,40,6,332,43,799
청계초등학교,77,3,72,4,50,9,49,2,40,2,13,1,301,21,624
진해신항초등학교,38,6,53,3,52,6,64,9,56,5,32,4,295,33,854
서울서이초등학교,36,8,47,10,64,10,54,9,46,6,36,4,283,47,1153
대구팔공초등학교,11,0,37,0,52,0,53,0,42,0,40,0,235,0,280
인천서화초등학교,7,3,53,9,60,6,69,7,39,4,26,3,254,32,1231
새솔초등학교,31,8,44,4,61,3,41,2,41,4,26,3,244,24,869
문원초등학교,28,10,48,10,48,13,48,4,42,7,53,5,267,49,1657
대구세현초등학교,44,3,49,6,63,12,45,10,31,6,20,7,252,44,760
수원초등학교,28,3,41,2,42,3,42,3,42,6,37,7,232,24,709
하주초등학교,39,3,37,4,54,3,35,1,33,2,19,1,217,14,83
감일초등학교,17,6,81,50,97,50,77,49,95,44,52,21,419,220,826
서울한서초등학교,26,5,30,9,54,3,40,6,47,3,26,1,223,27,546
용아초등학교,27,1,58,2,50,2,38,3,30,2,3,0,206,10,943
수현초등학교,44,3,33,0,40,0,27,1,36,1,20,0,200,5,247
서산예천초등학교,9,4,30,4,52,3,44,2,42,4,34,2,211,19,769
서울잠원초등학교,47,8,61,12,64,10,53,13,19,11,8,9,252,63,1405
호원초등학교,13,4,50,4,52,7,39,4,35,3,27,5,216,27,857
무안행복초등학교,11,1,38,4,43,0,43,3,34,0,29,2,198,10,1221
대구경동초등학교,16,4,22,7,59,11,34,8,51,6,43,3,225,39,1916
종덕초등학교,66,14,39,15,54,7,37,10,33,8,15,8,244,62,1061
서울대현초등학교,11,0,25,4,29,10,37,4,40,6,61,3,203,27,685
평택모산초등학교,22,2,33,6,34,0,45,3,33,4,25,2,192,17,899
지산초등학교,16,10,48,17,49,10,50,11,31,7,32,4,226,59,1118
서울남명초등학교,1,0,41,0,44,0,32,2,26,3,23,1,167,6,398
서울장곡초등학교,8,5,52,3,43,3,33,5,28,6,22,3,186,25,714
충무공초등학교,9,3,36,9,36,7,59,9,41,13,23,2,204,43,1366
명원초등학교,8,12,46,19,59,16,63,12,40,12,24,9,240,80,1492
인천청호초등학교,5,3,39,3,33,3,42,0,34,2,18,1,171,12,232
인천서운초등학교,4,4,38,4,36,2,35,1,28,5,25,3,166,19,509
아산공수초등학교,29,5,33,2,42,6,30,2,20,2,11,1,165,18,546
대전용운초등학교,5,5,31,2,40,0,33,3,23,0,24,1,156,11,449
인천가현초등학교,36,12,52,8,47,12,32,10,28,11,9,7,204,60,1074
서울대방초등학교,11,7,42,14,40,10,32,8,44,7,21,2,190,48,1182
인천은송초등학교,12,9,40,3,33,3,38,3,32,6,14,4,169,28,770
대구동도초등학교,18,4,41,16,45,8,41,7,26,14,21,6,192,55,1316
안양동초등학교,41,2,45,5,30,7,23,4,25,4,0,6,164,28,428
한밭초등학교,8,4,26,8,38,11,45,9,28,10,34,6,179,48,1778
운동초등학교,1,2,28,2,32,2,30,0,31,2,20,3,142,11,509
삼계초등학교,32,3,35,5,29,0,26,4,24,5,2,0,148,17,685
서울서원초등학교,26,4,37,18,38,17,39,11,26,13,27,4,193,67,1346
대구범어초등학교,3,2,19,5,36,7,28,4,36,6,31,3,153,27,673
평택새빛초등학교,35,14,34,8,49,14,27,10,26,7,13,5,184,58,572
구미문성초등학교,13,7,30,5,34,4,29,12,21,0,30,3,157,31,1078
서울도곡초등학교,11,4,21,8,27,6,38,6,31,12,39,9,167,45,954
안룡초등학교,38,6,28,4,36,6,23,1,20,3,1,4,146,24,346
효덕초등학교,35,3,34,5,34,7,20,6,16,2,8,3,147,26,409
미사중앙초등학교,30,7,39,17,34,17,33,14,37,11,23,10,196,76,1368
서울대도초등학교,14,4,27,12,40,22,47,25,38,24,42,3,208,90,2129
서울은평초등학교,13,6,27,4,29,1,25,5,29,1,15,3,138,20,746
금모래초등학교,46,1,33,6,30,11,22,8,15,5,5,2,151,33,835
어정초등학교,28,7,37,2,22,10,27,7,34,9,18,14,166,49,748
시흥가온초등학교,7,1,25,2,29,5,24,3,23,0,20,0,128,11,1141
포항중앙초등학교,17,3,17,4,26,1,22,2,18,2,29,2,129,14,936
옥빛초등학교,5,2,76,96,110,57,98,62,98,65,71,62,458,344,1385
상학초등학교,17,1,22,1,22,0,24,2,16,0,17,1,118,5,92
서울도성초등학교,8,7,17,11,39,11,40,10,34,12,30,7,168,58,1888
대구대청초등학교,4,0,21,0,18,0,18,0,28,0,20,0,109,0,1318
귀인초등학교,19,7,22,14,37,13,34,13,38,10,30,14,180,71,1662
훈민초등학교,23,3,21,2,32,2,21,3,19,2,6,2,122,14,733
서울을지초등학교,8,4,24,6,33,14,35,3,20,10,31,7,151,44,1594
왕남초등학교,27,1,23,6,23,1,22,1,18,1,9,5,122,15,247
아인초등학교,31,12,30,17,42,18,38,9,33,19,22,17,196,92,1138
전주동신초등학교,14,4,32,9,25,4,24,2,23,7,14,2,132,28,365
신장초등학교,31,8,33,5,29,6,18,8,22,7,12,8,145,42,475
안양중앙초등학교,33,2,30,6,28,11,22,9,22,6,3,2,138,36,525
안양초등학교,9,5,35,9,30,12,22,3,27,3,15,4,138,36,895
부평초등학교,34,6,30,6,37,9,25,9,29,13,3,13,158,56,611
인천운서초등학교,19,0,23,6,16,5,25,1,21,3,11,0,115,15,229
보름초등학교,9,4,27,5,29,3,15,3,20,1,18,2,118,18,1218
유천초등학교,11,0,11,0,30,0,15,0,20,0,13,0,100,0,727
솔빛초등학교,25,6,24,3,26,2,23,2,13,0,3,2,114,15,184
대구노변초등학교,21,1,29,5,19,5,26,5,17,7,12,3,124,26,611
일광초등학교,5,4,22,7,34,7,28,4,16,5,23,5,128,32,881
대구구지초등학교,6,4,24,5,39,10,27,7,21,4,11,2,128,32,471
불로초등학교,11,1,28,3,33,4,22,5,12,3,7,2,113,18,892
화원초등학교,17,14,36,9,41,18,16,11,35,7,18,9,163,68,1123
낙생초등학교,16,5,35,15,32,19,34,10,28,13,16,10,161,72,1213
의왕초등학교,24,2,21,7,30,9,20,3,16,11,18,9,129,41,886
원흥초등학교,11,3,20,1,21,1,18,1,11,1,16,3,97,10,242
전주초포초등학교,17,0,17,3,22,0,18,1,15,1,3,0,92,5,105
빛누리초등학교,13,5,32,12,36,21,36,15,38,16,13,12,168,81,1249
서울대곡초등학교,9,3,26,10,42,19,22,9,28,18,26,8,153,67,1221
남춘천초등학교,22,4,20,6,24,5,27,6,16,4,5,3,114,28,408
이천송정초등학교,21,3,29,15,24,5,24,14,21,8,15,5,134,50,1128
오마초등학교,23,5,14,8,35,5,25,6,18,8,10,10,125,42,1307
경산초등학교,14,3,26,3,16,4,19,2,14,4,10,0,99,16,431
온천초등학교,18,5,9,4,26,4,21,2,15,7,20,5,109,27,798
대구복현초등학교,6,3,21,10,26,8,24,7,17,2,18,2,112,32,935
전주화정초등학교,5,3,19,3,32,9,31,15,29,14,14,6,130,50,1578
서울신목초등학교,10,2,19,9,21,10,25,4,22,7,17,3,114,35,1042
평촌초등학교,13,7,16,9,26,7,32,16,24,11,26,8,137,58,1266
매봉초등학교,16,5,23,5,28,10,21,4,15,9,12,3,115,36,723
지축초등학교,12,4,22,1,18,1,21,2,12,1,4,1,89,10,826
대교초등학교,9,2,19,2,24,0,16,0,14,3,3,0,85,7,253
범계초등학교,11,6,17,11,18,5,20,2,19,7,28,5,113,36,803
성남정자초등학교,10,2,24,11,31,12,19,9,19,7,20,5,123,46,948
해밀초등학교,9,5,20,4,18,3,13,0,25,0,4,1,89,13,894
고양오금초등학교,12,1,25,8,19,7,13,5,21,3,12,2,102,26,565
장산초등학교,28,3,15,4,28,6,19,4,14,9,16,19,120,45,575
성황초등학교,22,0,21,0,19,2,10,1,6,1,1,0,79,4,110
인천별빛초등학교,13,11,23,11,21,7,25,3,23,7,8,0,113,39,549
서울대치초등학교,6,7,24,11,23,15,24,9,32,11,30,13,139,66,1656
광주효덕초등학교,5,4,13,3,17,8,12,5,10,9,47,2,104,31,833
청솔초등학교,24,5,19,1,22,8,12,2,13,1,3,3,93,20,156
서울목동초등학교,18,6,16,16,28,9,22,14,23,11,30,9,137,65,1406
송우초등학교,6,6,18,3,18,10,23,4,19,4,19,4,103,31,512
솔뫼초등학교,21,1,25,5,24,3,11,9,10,2,4,3,95,23,432
광주송정초등학교,13,11,23,1,16,4,17,2,15,3,9,0,93,21,480
대구용천초등학교,30,0,28,13,32,6,8,12,15,9,0,3,113,43,1063
인천명선초등학교,12,2,17,10,24,8,24,7,16,7,22,11,115,45,1136
광명남초등학교,16,12,19,1,20,4,16,8,14,2,12,0,97,27,412
반곡초등학교,15,4,23,7,22,7,26,11,19,11,11,6,116,46,1095
동방초등학교,11,0,13,0,13,3,11,3,12,1,17,0,77,7,111
서울개일초등학교,13,8,24,10,21,5,25,14,19,8,16,5,118,50,1004
사하초등학교,4,4,24,7,22,13,22,4,19,6,17,6,108,40,1053
송정초등학교,18,4,14,8,18,7,19,5,20,6,14,5,103,35,713
인천상정초등학교,12,1,17,4,14,3,15,1,11,2,10,0,79,11,243
산들초등학교,12,5,10,8,31,3,17,6,16,9,12,0,98,31,843
치악초등학교,19,6,16,2,16,1,20,8,13,2,5,3,89,22,229
옥동초등학교,12,4,15,3,25,7,13,6,20,8,15,5,100,33,1355
서울원광초등학교,6,2,17,4,21,11,16,6,19,5,19,4,98,32,759
조봉초등학교,12,3,15,10,23,8,19,9,18,8,23,6,110,44,928
용죽초등학교,17,19,20,10,30,11,34,15,21,10,18,9,140,74,1692
서울상곡초등학교,0,0,16,5,22,7,19,6,17,3,16,4,90,25,533
매곡초등학교,16,5,22,3,16,8,25,10,16,5,6,5,101,36,899
수내초등학교,19,4,22,10,20,12,20,6,19,6,8,5,108,43,1269
퇴계초등학교,21,4,13,4,19,2,17,2,8,2,1,0,79,14,797
전주양현초등학교,9,6,12,4,14,5,17,1,16,2,15,0,83,18,1158
서울갈산초등학교,11,5,12,5,19,7,20,6,21,6,14,4,97,33,1034
인천중산초등학교,17,16,27,29,39,24,33,15,33,24,33,10,182,118,1637
서울구룡초등학교,2,6,11,5,24,4,22,5,18,4,13,3,90,27,733
서울송례초등학교,7,13,32,18,33,18,31,14,18,13,24,6,145,82,1298
진월초등학교,3,5,8,2,16,8,9,5,13,0,37,3,86,23,725
서현초등학교,10,5,21,9,20,13,27,6,18,5,10,5,106,43,1103
대구남산초등학교,27,3,21,6,21,15,21,11,15,6,4,6,109,47,919
수완초등학교,3,4,22,14,30,20,20,7,22,11,35,14,132,70,1681
태봉초등학교,19,4,21,5,15,13,20,5,9,3,17,9,101,39,748
해운대초등학교,21,6,18,6,20,4,18,7,18,7,8,12,103,42,744
관산초등학교,22,6,18,10,23,7,19,7,9,7,13,6,104,43,988
