"id","model","year","transmission","mileage","fueltype","tax","mpg","engineSize"
12117,"Fiesta",2018,"Manual",19156,"Petrol",145,61.4,1
13263,"Fiesta",2014,"Manual",44000,"Petrol",30,54.3,1.2
4806,"C-MAX",2017,"Manual",13142,"Petrol",145,55.4,1
11014,"Fiesta",2018,"Manual",25000,"Petrol",145,65.7,1
8465,"Fiesta",2018,"Manual",6166,"Petrol",145,65.7,1
3276,"Fiesta",2019,"Manual",151,"Petrol",145,48.7,1.1
3453,"Fiesta",2016,"Manual",24295,"Petrol",0,65.7,1
15657,"Focus",2016,"Manual",27450,"Petrol",20,61.4,1
17074,"Fiesta",2016,"Manual",17400,"Petrol",0,65.7,1
11851,"Fiesta",2018,"Manual",33996,"Petrol",145,65.7,1
14800,"Kuga",2015,"Manual",56308,"Diesel",150,54.3,2
4914,"Focus",2016,"Manual",15610,"Petrol",20,61.4,1
10611,"Ka+",2019,"Manual",3850,"Petrol",145,47.9,1.2
9864,"Focus",2017,"Manual",14716,"Petrol",145,61.4,1
9782,"Fiesta",2018,"Manual",16888,"Petrol",145,65.7,1
8676,"Fiesta",2015,"Manual",35155,"Petrol",0,65.7,1
683,"Fiesta",2014,"Manual",33154,"Petrol",30,54.3,1.2
10790,"Focus",2019,"Automatic",11000,"Petrol",145,50.4,1
936,"Fiesta",2018,"Manual",21763,"Petrol",145,65.7,1
8336,"EcoSport",2017,"Manual",19347,"Petrol",145,52.3,1
10960,"Fiesta",2019,"Manual",11576,"Petrol",145,58.9,1
9862,"Fiesta",2018,"Manual",13800,"Petrol",150,65.7,1
7543,"S-MAX",2017,"Manual",16575,"Diesel",125,56.5,2
10696,"C-MAX",2017,"Manual",11264,"Petrol",145,55.4,1
130,"Fiesta",2016,"Semi-Auto",29590,"Petrol",0,57.7,1
466,"Fiesta",2017,"Manual",28186,"Petrol",0,65.7,1
963,"Focus",2014,"Manual",70745,"Petrol",20,60.1,1
12020,"Fiesta",2018,"Manual",29907,"Petrol",145,65.7,1
7469,"Focus",2017,"Manual",22572,"Diesel",145,74.3,1.5
13775,"Kuga",2016,"Manual",24000,"Diesel",125,60.1,2
17697,"C-MAX",2017,"Manual",19932,"Diesel",20,68.9,1.5
8200,"Fiesta",2016,"Manual",21428,"Petrol",20,62.8,1
17060,"Mondeo",2018,"Automatic",10999,"Diesel",145,57.7,2
14332,"Fiesta",2015,"Automatic",19581,"Petrol",145,47.9,1.6
4322,"Focus",2019,"Manual",10000,"Diesel",145,74.3,1.5
2765,"B-MAX",2015,"Manual",30544,"Petrol",30,55.4,1
12103,"Edge",2018,"Manual",4974,"Diesel",145,48.7,2
12018,"Focus",2017,"Manual",25892,"Diesel",0,74.3,1.5
16742,"Fiesta",2017,"Manual",10604,"Petrol",0,65.7,1
4764,"Ka+",2018,"Manual",18653,"Petrol",145,54.3,1.2
11273,"Ka+",2017,"Manual",12164,"Petrol",30,57.7,1.2
1642,"Focus",2018,"Manual",12583,"Diesel",145,74.3,1.5
